,precision,recall,f1-score,support
AD,0.9454545454545454,0.6753246753246753,0.7878787878787878,77.0
ASS,0.3793103448275862,0.6470588235294118,0.4782608695652174,17.0
HP,0.5517241379310345,0.8421052631578947,0.6666666666666666,19.0
accuracy,0.6991150442477876,0.6991150442477876,0.6991150442477876,0.6991150442477876
macro avg,0.625496342737722,0.721496254003994,0.6442687747035573,113.0
weighted avg,0.794079951174855,0.6991150442477876,0.7209183019109914,113.0
